address,agent_name,agent_number,bath,beds,land_size,price,pricepersqft,url
"12127 Cottage Promenade Ct Austin, TX 78753 Copperfield Neighborhood",Jaclyn Houghton,(512) 269-0582,2,3,"1,582","$449,000",$284,https://www.homes.com/property/12127-cottage-promenade-ct-austin-tx/880tt9m7mp3q5/
"9301 Southwick Dr Austin, TX 78724 Hornsby Bend Neighborhood",Amy Kolb,(888) 249-4294,2,3,"1,510","$349,000",$231,https://www.homes.com/property/9301-southwick-dr-austin-tx/w3v59f60bj5fc/
"18601 Mckay Cove Austin, TX 78738 Hamilton Pool Neighborhood",Shannon Mangin,(737) 377-1658,2,3,"1,929","$589,000",$305,https://www.homes.com/property/18601-mckay-cove-austin-tx/qfndgmr9zdnzy/
"7849 Escala Dr Austin, TX 78735 Barton Creek Preserve Neighborhood",Gary Dolch,(877) 726-6085,7,5,"10,396","$8,700,000",$837,https://www.homes.com/property/7849-escala-dr-austin-tx/87vrfdl74yd57/
"4537 Ruiz St Austin, TX 78723 Mueller Neighborhood",Adelina Rotar,(865) 737-2420,2.5,3,"2,723","$1,400,000",$514,https://www.homes.com/property/4537-ruiz-st-austin-tx/3ncgkjfc25v7z/
"5305 Towser Ct Austin, TX 78744 McKinney Neighborhood",Missy  Stagers,(866) 941-2599,2.5,3,"2,170","$399,900",$184,https://www.homes.com/property/5305-towser-ct-austin-tx/p4mn4ec7yzp0b/
"18705 Waltz Ct Austin, TX 78738 Bee Cave Neighborhood",Shannon Mangin,(512) 710-0821,3,4,"2,449","$679,000",$277,https://www.homes.com/property/18705-waltz-ct-austin-tx/vqge0h7hjbrvw/
"Natiivo Austin 48 East Ave Unit 2306 Austin, TX 78701 Rainey Street Historic District Neighborhood",Denise Bodman,(855) 712-9621,1,1,740,"$619,000",$836,https://www.homes.com/property/natiivo-austin-austin-tx-unit-2306/rhjvzyryxk9x5/
"6005 Long Champ Ct Austin, TX 78746 Westlake Neighborhood",Eric Copper,(512) 980-3254,6,4,"6,398","$5,950,000",$930,https://www.homes.com/property/6005-long-champ-ct-austin-tx/qmxb9g8qnwb3y/
"3104 Dolphin Dr Austin, TX 78704 South Lamar Neighborhood",Tara McGuire,(844) 830-7278,3,3,"1,668","$799,900",$480,https://www.homes.com/property/3104-dolphin-dr-austin-tx/fb6yw5d1nzv87/
"112 Kollmeyer Cir Austin, TX 78734 Apache Shores Neighborhood",Frederic Rello,(888) 507-6921,5.5,5,"5,427","$1,850,000",$341,https://www.homes.com/property/112-kollmeyer-cir-austin-tx/8kjve8xnvqnd1/
"2813 De Soto Dr Austin, TX 78733 Lake Austin Neighborhood",Linda Welsh,(855) 946-2499,2.5,4,"2,600","$1,050,000",$404,https://www.homes.com/property/2813-de-soto-dr-austin-tx/9ybtddy4pcl5k/
